Name,Lane,Area,Epic,Status,Priority,Week,Estimate (pts),DoD,KPI
Add vendor references to Events,Society,"Events,Vendors",W1–2 Foundations,Ready,P0,1,5,"Event has vendorRefs[] + role; editor UI; API returns; renders on event page","event_view → cta_click"
Add vendor references to Locations,Society,"Locations,Vendors",W1–2 Foundations,Backlog,P0,1,5,"Location has vendorRefs[] + featuredVendorRef; UI+API; renders on location page","location_view → vendor_click"
Business CTAs on Event page,Society,"Events,Analytics",W1–2 Foundations,Backlog,P0,1,3,"Order + Promo CTAs visible when data exists; logs cta_click with eventId+vendorId","cta_click rate"
Business CTAs on Location page,Society,"Locations,Analytics",W1–2 Foundations,Backlog,P0,2,3,"Featured vendor + Top dishes widgets wired; logs cta_click with locationId+vendorId","cta_click rate"
Create campaign from event,Studio,"Campaigns,Events",W1–2 Foundations,Backlog,P0,2,5,"Button creates campaign draft with eventId, vendor list, schedule skeleton, tracking tags","campaign_create count"
Generate post drafts from campaign,Studio,"Posts,Campaigns",W1–2 Foundations,Backlog,P0,2,5,"Creates 3 drafts (pre/during/post) and assigns vendors","drafts created / campaign"
Attach products to post,Food,"Products,Posts",W1–2 Foundations,Backlog,P0,2,5,"Select vendor → fetch products → attach productRefs[]; shoppable module renders","order_clicks / post"
Tracking events (minimum analytics),Admin,"Analytics,Events,Locations,Posts",W1–2 Foundations,Backlog,P0,2,3,"Logs event_view, location_view, cta_click, post_view, order_click with sourceContext","attribution coverage"
Canva OAuth connect,Studio,"Canva,Auth",W3–4 Studio,Backlog,P0,3,5,"Connect Canva account; store tokens securely; revoke supported","connected accounts"
Edit in Canva + export to Studio,Studio,"Canva,Posts",W3–4 Studio,Backlog,P0,3,8,"Create design → open Canva → export job → asset saved in media library","assets exported"
Template system v1,Admin,"Canva,Templates",W3–4 Studio,Backlog,P1,4,5,"Admin maps template IDs per post type; Studio uses mapping","template usage"
Product catalog v1,Food,"Products,Vendors",W5–6 Food,Backlog,P0,5,8,"CRUD products; availability; ordering link; EU currency support","products/vendor"
Bundles: Event specials,Food,"Products,Bundles",W5–6 Food,Backlog,P0,6,5,"Bundle entity; attach to posts; render bundle card","bundle attach rate"
Sponsored placements,Society,"Events,Locations,Monetization",W7–8 Monetize,Backlog,P0,7,5,"Admin marks sponsored; placement rules; disclosure badge","sponsor CTR"
Post-event recap automation,Studio,"Campaigns,Automation",W7–8 Monetize,Backlog,P0,8,5,"Event end triggers recap template in Studio; vendor slots assigned","recap posts created"
Billing hooks + plan gating,Admin,"Billing,Monetization",W7–8 Monetize,Backlog,P0,8,8,"Checkout; subscription status stored; gated features enforced","paid conversion"
Collections & bookmarking,Society,"Discovery,Collections",W9–10 Scale,Backlog,P0,9,8,"Save event/place/vendor/post; collections; saved lists; boosts feed","saves/user"
Follow vendors/creators,Society,"Discovery,Vendors",W9–10 Scale,Backlog,P0,10,5,"Follow/unfollow; feed shows followed first","follows/user"
Veo 3.1 promo clip generation,Studio,"Veo,Video,Posts",W11–12 Polish,Backlog,P0,11,8,"Generate clip; save to media library; attach to post","video attach rate"
KPI dashboard v1,Admin,"Analytics,Dashboards",W11–12 Polish,Backlog,P0,12,5,"Shows views, clicks, conversion by event/location/vendor","weekly active vendors"